time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-09-30T23:23:18.458Z,13.414047684108164,144.7844991235978,30.944184506058043,32.0,239.6565,0.96058154,8,gps,1.4,3.7,3.9,49.5,,,,99,
2020-09-30T23:23:20.370Z,13.414270304336938,144.7843714564039,111.86026473701513,24.0,139.34245,2.5670707,8,gps,1.0,2.0,2.3,49.5,,,,99,
2020-09-30T23:23:21.430Z,13.41423690238497,144.7843414931907,131.33418026327593,8.0,141.64261,2.1215305,9,gps,1.0,2.0,2.3,49.5,,,,99,
2020-09-30T23:23:23.430Z,13.414203922937523,144.78434542202885,125.94466603465658,32.0,164.31761,1.848546,10,gps,1.1,2.2,2.5,49.5,,,,99,
2020-09-30T23:23:24.430Z,13.414212044991709,144.7842872945683,122.60472314573867,32.0,284.1174,3.0485027,10,gps,1.1,2.2,2.5,49.5,,,,99,
2020-09-30T23:23:26.430Z,13.414224916891065,144.78423654863866,123.77549962051117,24.0,298.63,2.6345727,10,gps,1.1,2.1,2.4,49.5,,,,99,
2020-09-30T23:23:27.430Z,13.414251493342974,144.78421417742572,128.3712609592839,24.0,319.0666,2.6838357,10,gps,1.1,2.2,2.5,49.5,,,,99,
2020-09-30T23:23:29.430Z,13.414273860915298,144.78420209538254,128.12539548426835,32.0,281.9762,0.52422476,10,gps,1.1,2.2,2.5,49.5,,,,99,
2020-09-30T23:23:30.430Z,13.414285590629062,144.7842134105982,127.87735469773921,24.0,38.239277,0.6723964,10,gps,1.1,1.9,2.2,49.5,,,,99,
2020-09-30T23:23:34.404Z,13.414388477701563,144.78422108132094,89.65550224143274,24.0,,0.0,11,gps,1.3,2.3,2.6,49.5,,,,99,
2020-09-30T23:23:36.000Z,13.414388477701563,144.78422108132094,94.21477444113228,24.0,,0.0,11,gps,1.2,2.2,2.5,49.5,,,,99,
2020-09-30T23:23:37.000Z,13.414388477701563,144.78422108132094,90.0860312570182,16.0,,0.0,10,gps,1.2,1.7,2.1,49.5,,,,99,
2020-09-30T23:23:39.000Z,13.414388477701563,144.78422108132094,95.3712974460505,16.0,,0.0,11,gps,1.2,2.2,2.5,49.5,,,,99,
